R1(HA),R2(IA),R3(NVP),R4(AA),R5(HEAA),R6(IBOA),Printability,Tg,Strength,Toughness
0.29, 0.0, 0.06, 0.23, 0.31, 0.1100000000000001, 1, 56.4, -29.22, -0.62
0.23, 0.0, 0.07, 0.31, 0.33, 0.05999999999999983, 1, 60.8, -30.68, -0.7
0.37, 0.17, 0.1, 0.04, 0.2, 0.11999999999999988, 1, 44.2, -36.98, -0.94
0.25, 0.35, 0.02, 0.15, 0.13, 0.09999999999999998, 1, 29.2, -26.97, -17.53
0.29, 0.28, 0.04, 0.29, 0.1, -2.220446049250313e-16, 1, 36.7, -32.56, -1.35
0.04, 0.4, 0.08, 0.33, 0.09, 0.05999999999999994, 1, 40.6, -24.84, -5.53
0.43, 0.24, 0.0, 0.06, 0.24, 0.030000000000000027, 1, 33.8, -30.7, -17.05
0.34, 0.12, 0.15, 0.24, 0.06, 0.09000000000000008, 1, 47.2, -32.28, -1.33
0.31, 0.37, 0.08, 0.18, 0.0, 0.06000000000000005, 1, 27.5, -6.34, -9.2
0.28, 0.15, 0.03, 0.01, 0.0, 0.5299999999999999, 1, 49.3, -20.44, -0.53
0.28, 0.33, 0.0, 0.07, 0.05, 0.2699999999999998, 1, 31.7, -8.53, -15.26
0.36, 0.02, 0.0, 0.3, 0.01, 0.31000000000000005, 1, 54.3, -16.59, -0.75
0.25, 0.09, 0.0, 0.13, 0.34, 0.18999999999999995, 1, 53.7, -21.56, -0.59
0.29, 0.29, 0.09, 0.09, 0.17, 0.07000000000000006, 1, 35.3, -42.27, -1.49
0.27, 0.41, 0.0, 0.11, 0.21, 1.1102230246251565e-16, 1, 29.7, -15.1, -25.76
0.29, 0.34, 0.02, 0.12, 0.07, 0.15999999999999992, 1, 31.4, -16.05, -21.46
0.28, 0.34, 0.0, 0.1, 0.28, 0.0, 1, 34.3, -31.22, -22.56
0.23, 0.4, 0.0, 0.12, 0.24, 0.010000000000000009, 1, 30.1, -20.18, -22.54
0.2, 0.39, 0.0, 0.03, 0.2, 0.17999999999999994, 1, 26.7, -3.25, -3.64
0.3, 0.4, 0.01, 0.0, 0.27, 0.020000000000000018, 1, 27.5, -15.97, -1.12
0.35, 0.06, 0.06, 0.17, 0.34, 0.020000000000000018, 1, 54.2, -12.83, -0.23
0.27, 0.07, 0.29, 0.06, 0.3, 0.010000000000000009, 1, 49.6, -21.08, -1.18
0.1, 0.42, 0.03, 0.2, 0.06, 0.18999999999999995, 1, 32.7, -28.74, -1.09
0.06, 0.41, 0.0, 0.16, 0.22, 0.15000000000000002, 1, 29.6, -14.71, -9.53
0.15, 0.05, 0.21, 0.01, 0.34, 0.24, 1, 97.3, -21.95, -3.3
0.17, 0.01, 0.2, 0.01, 0.35, 0.26, 1, 95.4, -10.24, -0.38
0.25, 0.28, 0.0, 0.26, 0.18, 0.030000000000000027, 1, 41.3, -20.56, -2.74
0.0, 0.33, 0.02, 0.07, 0.14, 0.43999999999999995, 1, 33.1, -12.7, -0.26
